Unique Key,Descriptor,Location Type,Incident Zip,Incident Address,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location,geometry,year,Info_Accuracy,Vacancy_Type,Current_Status,Repeated,Comment
32012093,Rat Sighting,Vacant Building,10026,2136 FREDERICK DOUGLASS BOULEVARD,996621,232170,40.8039203,-73.955315,"(40.803920275980474, -73.95531492554906)",POINT (-73.95531492554906 40.80392027598048),2015,/,/,/,TRUE,
31899686,Condition Attracting Rodents,Vacant Building,10026,2134 FREDERICK DOUGLASS BOULEVARD,996514,232180,40.8039479,-73.955701,"(40.80394787239614, -73.95570140005974)",POINT (-73.95570140005974 40.80394787239614),2015,/,/,/,TRUE,
31781220,Rat Sighting,Vacant Lot,10026,2136 FREDERICK DOUGLAS BOULEVARD,996525,232199,40.804,-73.955662,"(40.804000006893276, -73.95566163240328)",POINT (-73.95566163240328 40.80400000689328),2015,/,/,/,TRUE,
43618464,Condition Attracting Rodents,Vacant Lot,10026,2136A FREDERICK DOUGLASS BOULEVARD,996524,232199,40.804,-73.955665,"(40.80400000828247, -73.95566524448962)",POINT (-73.95566524448962 40.80400000828247),2019,/,/,/,TRUE,
32169488,Rat Sighting,Vacant Building,10026,2140 FREDERICK DOUGLASS BOULEVARD,996640,232203,40.8040108,-73.955246,"(40.80401082527759, -73.95524623509158)",POINT (-73.95524623509158 40.80401082527759),2015,/,/,/,TRUE,
21847912,Rat Sighting,Vacant Building,10026,183 LENOX AVENUE,998594,232232,40.8040875,-73.948188,"(40.80408746615211, -73.94818815556941)",POINT (-73.94818815556941 40.80408746615211),2011,FALSE,/,/,FALSE,
36502181,Large Number of Mosquitoes,Vacant Lot/Property,10026,2142 8 AVENUE,996557,232257,40.8041592,-73.955546,"(40.80415915641741, -73.95554593932184)",POINT (-73.95554593932184 40.80415915641741),2017,/,/,/,TRUE,
35120582,Rat Sighting,Vacant Lot,10026,2144 FREDERICK DOUGLASS BLVD,996627,232267,40.8041865,-73.955293,"(40.804186505884765, -73.95529307423786)",POINT (-73.95529307423786 40.80418650588477),2016,FALSE,/,/,FALSE,
38707107,Signs of Rodents,Vacant Lot,10026,2144 FREDERICK DOUGLASS BOULEVARD,996627,232273,40.804203,-73.955293,"(40.804202974233306, -73.95529306317685)",POINT (-73.95529306317684 40.80420297423331),2018,FALSE,/,/,FALSE,
43768948,Rat Sighting,Vacant Building,10026,190 MALCOLM X BOULEVARD,998645,232313,40.8043097,-73.948004,"(40.80430970590395, -73.94800376526184)",POINT (-73.94800376526184 40.80430970590395),2019,TRUE,VB,VACANT,FALSE,
41621967,Rat Sighting,Vacant Building,10026,135 WEST  119 STREET,998260,232360,40.8044393,-73.949394,"(40.80443932682152, -73.94939432684862)",POINT (-73.94939432684862 40.80443932682152),2019,TRUE,VB,VACANT,FALSE,
41140520,Signs of Rodents,Vacant Lot,10026,141 ST NICHOLAS AVENUE,997285,232366,40.8044573,-73.952916,"(40.80445728738318, -73.95291612258447)",POINT (-73.95291612258447 40.80445728738318),2018,FALSE,/,/,FALSE,
41036291,Rat Sighting,Vacant Lot,10026,306 WEST  116 STREET,996509,232402,40.8045572,-73.955719,"(40.80455720822613, -73.95571905512072)",POINT (-73.95571905512071 40.80455720822614),2018,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
40705197,Rat Sighting,Vacant Building,10027,8 WEST 121 STREET,999069,232413,40.8045835,-73.946472,"(40.80458347738907, -73.94647201288603)",POINT (-73.94647201288603 40.80458347738907),2018,TRUE,VB FOR SALE,VACANT,FALSE,
26070763,Condition Attracting Rodents,Vacant Lot,10026,206 WEST  118 STREET,997562,232441,40.8046627,-73.951915,"(40.80466272872301, -73.95191541910337)",POINT (-73.95191541910337 40.80466272872301),2013,FALSE,/,/,FALSE,
39442678,Rat Sighting,Vacant Lot,10026,1962 ADAM CLAYTON POWELL JR BOULEVARD,997686,232450,40.8046872,-73.951467,"(40.80468724354779, -73.9514674979357)",POINT (-73.95146749793571 40.80468724354779),2018,FALSE,/,/,FALSE,
24481161,Rat Sighting,Vacant Lot,10026,209 WEST 118 STREET,997555,232451,40.8046902,-73.951941,"(40.80469018651171, -73.95194068414152)",POINT (-73.95194068414152 40.80469018651171),2012,/,/,/,TRUE,
33429741,Rat Sighting,Vacant Lot,10026,209 WEST  118 STREET,997555,232451,40.8046902,-73.951941,"(40.80469018651171, -73.95194068414152)",POINT (-73.95194068414152 40.80469018651171),2016,FALSE,/,/,FALSE,
18561462,Rat Sighting,Vacant Building,10026,321 WEST 116 STREET,996430,232453,40.8046973,-73.956004,"(40.804697298436864, -73.95600431980877)",POINT (-73.95600431980877 40.80469729843686),2010,TRUE,VB,VACANT,FALSE,
33495614,Condition Attracting Rodents,Vacant Building,10026,321 WEST  116 STREET,996430,232453,40.8046973,-73.956004,"(40.804697298436864, -73.95600431980877)",POINT (-73.95600431980877 40.80469729843686),2016,/,/,/,TRUE,
21418095,Rat Sighting,Vacant Building,10026,371 MANHATTAN AVENUE,996141,232467,40.8047361,-73.957048,"(40.80473611825136, -73.95704819891363)",POINT (-73.95704819891363 40.80473611825136),2011,TRUE,VB,CONST,FALSE,CHURCH
33778142,Rat Sighting,Vacant Lot,10026,2166 FREDERICK DOUGLASS BOULEVARD,996779,232492,40.8048039,-73.954744,"(40.80480385469021, -73.95474361569035)",POINT (-73.95474361569035 40.80480385469021),2016,FALSE,/,/,FALSE,
39782222,Rat Sighting,Vacant Lot,10026,257 WEST 117TH STREET,997079,232524,40.8048913,-73.95366,"(40.8048912553674, -73.95365991556196)",POINT (-73.95365991556196 40.8048912553674),2018,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
39674028,Rat Sighting,Vacant Lot,10026,264 W 118TH ST,997064,232591,40.8050752,-73.953714,"(40.80507517366819, -73.95371396970343)",POINT (-73.95371396970343 40.80507517366819),2018,FALSE,/,/,FALSE,
19349649,Rat Sighting,Vacant Building,10026,384 MANHATTAN AVENUE,996241,232635,40.8051971,-73.956687,"(40.80519709680798, -73.9566866862246)",POINT (-73.9566866862246 40.80519709680797),2010,TRUE,VB,VACANT,FALSE,
20718319,Rat Sighting,Vacant Building,10027,162 WEST 120 STREET,998238,232665,40.8052765,-73.949473,"(40.80527650260936, -73.94947315780342)",POINT (-73.94947315780342 40.80527650260936),2011,FALSE,/,/,FALSE,
22464676,Rat Sighting,Vacant Lot,10026,313 WEST 117 STREET,996614,232674,40.8053036,-73.955339,"(40.8053036269627, -73.95533928196181)",POINT (-73.95533928196181 40.8053036269627),2012,FALSE,/,/,FALSE,
40192040,Condition Attracting Rodents,Vacant Building,10027,228 LENOX AVENUE,998896,232766,40.8055527,-73.947096,"(40.80555265350617, -73.9470961391933)",POINT (-73.94709613919329 40.80555265350618),2018,TRUE,VB,VACANT,FALSE,
23111037,Rat Sighting,Vacant Building,10027,27 WEST 123 STREET,999392,232927,40.8059937,-73.945304,"(40.80599371792915, -73.94530413956161)",POINT (-73.9453041395616 40.80599371792915),2012,TRUE,VB,VACANT,FALSE,
20459311,Condition Attracting Rodents,Vacant Lot,10027,127 WEST 122 STREET,998687,233020,40.8062502,-73.947851,"(40.806250157349524, -73.94785053660232)",POINT (-73.94785053660232 40.80625015734952),2011,FALSE,/,/,FALSE,
22373028,Condition Attracting Rodents,Vacant Building,10027,129 WEST 122 STREET,998677,233026,40.8062666,-73.947887,"(40.806266642026415, -73.94788664579134)",POINT (-73.94788664579134 40.80626664202642),2011,FALSE,/,/,FALSE,
43992970,Rat Sighting,Vacant Building,10027,152 WEST  122 STREET,998546,233092,40.806448,-73.94836,"(40.80644800672709, -73.94835970465114)",POINT (-73.94835970465114 40.80644800672709),2019,FALSE,/,/,FALSE,
